EAR,ITERATION
0.2621458672203326,0
0.23340745689888143,1
0.22574083884508128,2
0.2501714235812526,3
0.24244815771498512,4
0.23831318157141587,5
0.23896838016901467,6
0.24263779772394792,7
0.23037124636542214,8
0.22979930791289338,9
0.23089067813563596,10
0.25443625856832336,11
0.2509424436473322,12
0.24966215424296095,13
0.25144426123917063,14
0.27047867495769784,15
0.26259833798216475,16
0.26263916444080454,17
0.27025538991201886,18
0.25796659649341414,19
0.2706453646303736,20
0.2703453066947432,21
0.2569877617835034,22
0.24738676219839623,23
0.2421010467151326,24
0.2310752970770738,25
0.24617351621907535,26
0.23041654707489778,27
0.2464144595225464,28
0.2648054221065672,29
0.2501817334774581,30
0.26193162259421066,31
0.24999858607556513,32
0.2466324427518405,33
0.21929052021493708,34
0.25500864367575526,35
0.2501817334774581,36
0.2576892083769536,37
0.23909184342670686,38
0.2502405973379878,39
0.26966845356765173,40
0.27068184498369685,41
0.2694246810677393,42
0.2847460292573757,43
0.27459832714895827,44
0.2667050022272767,45
0.2880157712250121,46
0.2496951157634238,47
0.27233536620144266,48
0.2575473580395228,49
0.2546828892987706,50
0.26142363817747544,51
0.2652614900371459,52
0.2538310885924105,53
0.2588679862035127,54
0.2353599306182767,55
0.23813679245057934,56
0.2584124243077573,57
0.23461227895099715,58
0.23534507541366095,59
0.24663794597062105,60
0.23936193809497675,61
0.25799360839813357,62
0.2697668547020432,63
0.25816933656890034,64
0.25762946233438166,65
0.265628352517147,66
0.2424510273880372,67
0.2504836957187493,68
0.25001290993827346,69
0.26555549094836983,70
0.24308819892780884,71
0.24261741314733304,72
0.25816064158259955,73
0.2582813132998057,74
0.2539919968872511,75
0.25398642878028166,76
0.2539748120027314,77
0.24671757602382777,78
0.24668826467509336,79
0.25735366958729233,80
0.2577167425113298,81
0.26048657810246245,82
0.2729210639555849,83
0.27994603874513657,84
0.25048402753040816,85
0.2656691296054372,86
0.2696504109867469,87
0.24641494271629832,88
0.21553175766390487,89
0.1749844995802785,90
